country,geo,nuts_2,gdp_per_cap,pop,weighted_avg_gdp_per_cap
DE,DEA3,Münster,0.034213831344800064,2617452.75,0.04106191136363101
DE,DEA4,Detmold,0.038777847681677434,2052360.5,0.04106191136363101
DE,DEA5,Arnsberg,0.035348768677025404,3578041.125,0.04106191136363101
DE,DEB1,Koblenz,0.0340058641915759,1493609.875,0.04106191136363101
DE,DEB2,Trier,0.030865167382735596,531029.125,0.04106191136363101
DE,DEB3,Rheinhessen-Pfalz,0.03905118154958492,2048828.5,0.04106191136363101
DE,DEC0,Saarland,0.036001875208834806,989900.625,0.04106191136363101
DE,DED2,Dresden,0.03193929300382647,1595270.875,0.04106191136363101
DE,DED4,Chemnitz,0.028850951412013673,1438341.375,0.04106191136363101
DE,DED5,Leipzig,0.0337214795035373,1035521.125,0.04106191136363101
DE,DEE0,Sachsen-Anhalt,0.028954797409283452,2211673.875,0.04106191136363101
DE,DEF0,Schleswig-Holstein,0.03362746488340453,2886836.25,0.04106191136363101
DE,DEG0,Thüringen,0.02945238151113383,2142803.625,0.04106191136363101
DK,DK01,Hovedstaden,0.07117603175523132,1823997.375,0.05337579025060379
DK,DK02,Sjælland,0.03649598965512512,834000.75,0.05337579025060379
DK,DK03,Syddanmark,0.047544575081013986,1219241.75,0.05337579025060379
DK,DK04,Midtjylland,0.04892359316491212,1314353.875,0.05337579025060379
DK,DK05,Nordjylland,0.04414868323400751,588310.5,0.05337579025060379
EE,EE00,Eesti,0.020275375441509577,1322655.25,0.020275375441509577
EL,EL30,Aττική,0.02282082897171747,3769819.0,0.01685426320842845
EL,EL41,Βόρειο Αιγαίο,0.011791495612890727,210523.0,0.01685426320842845
EL,EL42,Νότιο Αιγαίο,0.01762372108757598,339476.625,0.01685426320842845
EL,EL43,Κρήτη,0.01414863919696609,632667.25,0.01685426320842845
EL,EL51,"Aνατολική Μακεδονία, Θράκη",0.011737614516182332,596129.375,0.01685426320842845
EL,EL52,Κεντρική Μακεδονία,0.01323750485380157,1866081.875,0.01685426320842845
EL,EL53,Δυτική Μακεδονία,0.015444639236253015,267332.5,0.01685426320842845
EL,EL54,Ήπειρος,0.011867064243312261,332839.375,0.01685426320842845
EL,EL61,Θεσσαλία,0.01289217656451633,717618.875,0.01685426320842845
EL,EL62,Ιόνια Νησιά,0.014885255680802168,204582.875,0.01685426320842845
EL,EL63,Δυτική Ελλάδα,0.01218533751446962,658063.25,0.01685426320842845
EL,EL64,Στερεά Ελλάδα,0.016110238955051048,549654.5,0.01685426320842845
EL,EL65,Πελοπόννησος,0.014383338568914057,571799.25,0.01685426320842845
ES,ES11,Galicia,0.022829674001593785,2707436.0,0.025270344745163285
ES,ES12,Principado de Asturias,0.022336719848912886,1026619.125,0.025270344745163285
ES,ES13,Cantabria,0.023260052354467656,582837.375,0.025270344745163285
ES,ES21,País Vasco,0.032524953857004546,2174650.125,0.025270344745163285
ES,ES22,Comunidad Foral de Navarra,0.030753269693003037,647671.375,0.025270344745163285
